Exergy_eff_WHRS,CO2_red,EPC,Exergy_eff_WHRS,CO2_red,EPC
19.24557254320219,18.49218444167482,0.26963615812125497,17.424834322676414,16.73638169969808,0.31146186093472417
19.24557254320219,18.49218444167482,0.26963615812125497,17.684929448441576,16.93793580142522,0.29551369354727175
19.24557254320219,18.49218444167482,0.26963615812125497,18.86945109265762,18.164092364057037,0.2941005354249513
19.24557254320219,18.49218444167482,0.26963615812125497,18.04994859125097,17.498134053350423,0.2990790989118535
19.24557254320219,18.49218444167482,0.26963615812125497,17.638124733809022,16.995343078215196,0.2944924977370915
19.24557254320219,18.49218444167482,0.26963615812125497,17.881858042766687,16.710109669122453,0.2769491017599553
19.24557254320219,18.49218444167482,0.26963615812125497,17.98846004346274,17.20441592005336,0.2794695268417629
19.24557254320219,18.49218444167482,0.26963615812125497,17.80921273139976,16.992618838919082,0.2880674767911612
19.24557254320219,18.49218444167482,0.26963615812125497,18.145488988972243,17.468930807523087,0.3084415687226761
19.24557254320219,18.49218444167482,0.26963615812125497,17.957998090412183,17.121851023535772,0.2788453030679854
19.24557254320219,18.49218444167482,0.26963615812125497,18.383337359900732,17.84393284949247,0.30542218416878697
19.24557254320219,18.49218444167482,0.26963615812125497,18.21655689940619,17.84442147227515,0.2895260986975866
19.24557254320219,18.49218444167482,0.26963615812125497,18.70800255877701,18.048078182623406,0.29385851591982265
19.24557254320219,18.49218444167482,0.26963615812125497,18.51503880703184,18.06400344933532,0.3005881857244016
19.24557254320219,18.49218444167482,0.26963615812125497,16.72154724399761,15.975221348192692,0.2704735940250382
19.24557254320219,18.49218444167482,0.26963615812125497,16.939486178867856,16.271975068831868,0.2798039538464203
19.24557254320219,18.49218444167482,0.26963615812125497,18.07346096317245,17.410361539475772,0.2828571356251801
19.24557254320219,18.49218444167482,0.26963615812125497,17.284184765155175,16.438149818113768,0.27879266193714475
19.24557254320219,18.49218444167482,0.26963615812125497,19.02783939213473,18.066948019482044,0.27374728266518455
19.24557254320219,18.49218444167482,0.26963615812125497,18.55313519461776,17.957984699865527,0.2956781985758337
19.24557254320219,18.49218444167482,0.26963615812125497,18.506766826010292,17.47338462235294,0.27186102133809825
19.24557254320219,18.49218444167482,0.26963615812125497,18.576419768736336,18.096844440630623,0.2937672704587556
19.24557254320219,18.49218444167482,0.26963615812125497,16.37083034385043,16.298201339825557,0.2705181613803633
19.24557254320219,18.49218444167482,0.26963615812125497,18.156786679177966,17.170134641117862,0.2710177094991289
19.24557254320219,18.49218444167482,0.26963615812125497,18.54874746970029,17.70899382308381,0.29139712004690865
19.24557254320219,18.49218444167482,0.26963615812125497,18.025335695580154,17.5708598419571,0.3082078286871566
19.24557254320219,18.49218444167482,0.26963615812125497,17.366031862378353,16.484741148122506,0.288130533970468
19.24557254320219,18.49218444167482,0.26963615812125497,16.3091555509647,15.567820812402521,0.27145983308162674
19.24557254320219,18.49218444167482,0.26963615812125497,17.270377541590523,16.379656292464027,0.2866676239848882
19.24557254320219,18.49218444167482,0.26963615812125497,17.857624126125568,17.18431318291922,0.2823102160130185
19.24557254320219,18.49218444167482,0.26963615812125497,18.47018461136357,17.959880470503332,0.29136795593759446
19.24557254320219,18.49218444167482,0.26963615812125497,18.04063767711204,17.420920867359023,0.305070336865028
19.24557254320219,18.49218444167482,0.26963615812125497,16.917512411377814,16.419455399139093,0.27615833077698293
19.24557254320219,18.49218444167482,0.26963615812125497,18.230060049178196,17.71524053227361,0.3164215323487411
19.24557254320219,18.49218444167482,0.26963615812125497,18.88692039396595,18.470178175389695,0.28895228624758523
19.24557254320219,18.49218444167482,0.26963615812125497,19.023261491948887,18.248042007797828,0.28802473130131184
19.24557254320219,18.49218444167482,0.26963615812125497,18.12504333307534,17.114641360026294,0.2696555818224399
19.24557254320219,18.49218444167482,0.26963615812125497,18.257890048757748,17.36925863590607,0.28510333374908636
19.24557254320219,18.49218444167482,0.26963615812125497,18.71681310154675,18.23888225198096,0.30452981881819985
19.24557254320219,18.49218444167482,0.26963615812125497,17.211514686341705,16.62494008518841,0.2707999627151539
19.24557254320219,18.49218444167482,0.26963615812125497,18.157660629098842,17.4149384074215,0.3039603371636193
19.24557254320219,18.49218444167482,0.26963615812125497,17.79963797181645,17.051223724182996,0.28505423631669236
19.24557254320219,18.49218444167482,0.26963615812125497,19.159180986363364,18.247445300236407,0.28648026180077735
19.24557254320219,18.49218444167482,0.26963615812125497,18.188276518137005,17.257008109531323,0.2762780654178878
19.24557254320219,18.49218444167482,0.26963615812125497,18.444631513732375,17.93044993952535,0.30434038657897866
19.24557254320219,18.49218444167482,0.26963615812125497,18.173896315296904,17.195433744754418,0.2904311244431339
19.24557254320219,18.49218444167482,0.26963615812125497,18.434341646823523,17.57071540541847,0.2809672161833186
19.24557254320219,18.49218444167482,0.26963615812125497,18.915968538688695,18.0773241580613,0.2843693520079666
19.24557254320219,18.49218444167482,0.26963615812125497,17.484315319176247,16.98866526532452,0.3126658949536036
19.24557254320219,18.49218444167482,0.26963615812125497,18.340019877428382,17.706404354924477,0.29700109965937693
19.24557254320219,18.49218444167482,0.26963615812125497,18.294710952941294,17.50884236737106,0.314395745136114
19.24557254320219,18.49218444167482,0.26963615812125497,18.19837848380582,17.38126475259626,0.2854003112760711
19.24557254320219,18.49218444167482,0.26963615812125497,18.980180076287734,18.188416919840712,0.2976629637057991
19.24557254320219,18.49218444167482,0.26963615812125497,18.563328011533084,18.024199199607395,0.30185882872170416
19.24557254320219,18.49218444167482,0.26963615812125497,18.190997574209277,17.313306249606686,0.2965323351432818
