Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,Exergy_eff_WHRS,CO2_red,EPC,rankValue,Time
57.5,4.15,25.0,0.0001,25.0,0.0001,6.6,0.2,20.547298493897912,20.15286704771494,0.28614088061381593,20.547298493897912,7.971561908721924
62.5,4.15,25.0,0.0001,25.0,0.0001,6.6,0.2,20.08717109853085,19.379072825661204,0.276414004949011,20.08717109853085,4.840958833694458
67.5,4.15,25.0,0.0001,25.0,0.0001,6.6,0.2,19.649319415128662,18.733854108140036,0.26687262292381014,19.649319415128662,4.529613018035889
72.5,4.15,25.0,0.0001,25.0,0.0001,6.6,0.2,19.233605638295526,18.193688416732478,0.2575451168085684,19.233605638295526,4.805282115936279
77.5,4.15,25.0,0.0001,25.0,0.0001,6.6,0.2,18.70885628450259,18.027750136789965,0.24588100705729576,18.70885628450259,5.368973016738892
84.99737028640527,4.15,25.0,0.0001,25.0,0.0001,6.6,0.2,18.454311357600066,17.01478220683773,0.2382859712839125,18.454311357600066,6.698831081390381
87.5,4.15,25.0,0.0001,25.0,0.0001,6.6,0.2,17.87673461409304,17.51008700819934,0.22357835454005218,17.87673461409304,6.2681920528411865
95.0951705439635,4.15,25.0,0.0001,25.0,0.0001,6.6,0.2,18.030740430245224,16.118799741865764,0.22724730528061382,18.030740430245224,6.520142078399658
97.5,4.15,25.0,0.0001,25.0,0.0001,6.6,0.2,17.916114304944035,15.963039472752072,0.22422054314930906,17.916114304944035,4.685120105743408
