Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,Exergy_eff_WHRS,CO2_red,EPC,rankValue,Time
57.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,20.52512434048387,20.219195486222073,0.28496528898506157,20.219195486222073,5.1546900272369385
62.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,20.06624812199839,19.448780258555765,0.27518515466298643,19.448780258555765,5.23778510093689
67.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,19.62986534417789,18.80685296287026,0.265597963157028,18.80685296287026,5.973451137542725
72.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,19.21579129582873,18.269901616799945,0.2562318272345348,18.269901616799945,4.62236213684082
79.72735758936233,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,18.416359469350752,18.187492597747845,0.2383253385968255,18.187492597747845,6.461289882659912
82.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,18.40718583540204,17.643637483886664,0.23713363817005112,17.643637483886664,7.625824213027954
90.00429887844743,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,17.3511660160979,18.124169716064408,0.2084297035532248,18.124169716064408,6.539960861206055
92.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,17.676166258101723,17.14096985745619,0.2170141183818859,17.14096985745619,5.268873929977417
97.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,17.904888894772565,16.047344647799267,0.22281883977640846,16.047344647799267,5.742796182632446
