Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,Exergy_eff_WHRS,CO2_red,EPC,rankValue,Time
62.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,20.06624812199839,19.448780258555765,0.27518515466298643,-0.27518515466298643,4.880515098571777
67.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,19.62986534417789,18.80685296287026,0.265597963157028,-0.265597963157028,4.069573163986206
72.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,19.21579129582873,18.269901616799945,0.2562318272345348,-0.2562318272345348,4.175508975982666
77.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,18.693490620180224,18.108827683735452,0.24452796129109738,-0.24452796129109738,4.4599409103393555
82.13391392912439,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,18.403105106300767,17.724367674011454,0.2371844868409655,-0.2371844868409655,5.086936950683594
87.5,4.15,0.0001,0.0001,24.999999999999996,0.0001,6.6,0.2,17.865766457391622,17.601175010701386,0.22217570741065448,-0.22217570741065448,4.704892158508301
89.92537864435704,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,17.36521182104513,18.109992161040168,0.20881209102575757,-0.20881209102575757,6.275862693786621
92.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,17.676166258101723,17.14096985745619,0.2170141183818859,-0.2170141183818859,5.13855504989624
102.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,17.637996674842963,15.80389743046684,0.21583863605900672,-0.21583863605900672,5.4071900844573975
